NAME,TYPE
attr0,numerical
attr1,numerical
attr2,numerical
attr3,numerical
attr4,numerical
attr5,numerical
attr6,numerical
attr7,numerical
attr8,numerical
attr9,numerical
attr10,numerical
attr11,numerical
attr12,numerical
attr13,numerical
attr14,numerical
attr15,numerical
attr16,numerical
attr17,numerical
attr18,numerical
attr19,numerical
attr20,numerical
attr21,numerical
attr22,numerical
attr23,numerical
attr24,numerical
attr25,numerical
attr26,numerical
attr27,numerical
attr28,numerical
attr29,numerical
attr30,numerical
attr31,numerical
attr32,numerical
attr33,numerical
attr34,numerical
attr35,numerical
attr36,numerical
attr37,numerical
attr38,numerical
attr39,numerical
attr40,numerical
attr41,numerical
attr42,numerical
attr43,numerical
attr44,numerical
attr45,numerical
attr46,numerical
attr47,numerical
attr48,numerical
attr49,numerical
attr50,numerical
attr51,numerical
attr52,numerical
attr53,numerical
attr54,numerical
attr55,numerical
attr56,numerical
attr57,numerical
attr58,numerical
attr59,numerical
attr60,numerical
attr61,numerical
attr62,numerical
attr63,numerical
attr64,numerical
attr65,numerical
attr66,numerical
attr67,numerical
attr68,numerical
attr69,numerical
attr70,numerical
attr71,numerical
attr72,numerical
attr73,numerical
attr74,numerical
attr75,numerical
attr76,numerical
attr77,numerical
attr78,numerical
attr79,numerical
attr80,numerical
attr81,numerical
attr82,numerical
attr83,numerical
attr84,numerical
attr85,numerical
attr86,numerical
attr87,numerical
attr88,numerical
attr89,numerical
attr90,numerical
attr91,numerical
attr92,numerical
attr93,numerical
attr94,numerical
attr95,numerical
attr96,numerical
attr97,numerical
attr98,numerical
attr99,numerical
attr100,numerical
attr101,numerical
attr102,numerical
attr103,numerical
attr104,numerical
attr105,numerical
attr106,numerical
attr107,numerical
attr108,numerical
attr109,numerical
attr110,numerical
attr111,numerical
attr112,numerical
attr113,numerical
attr114,numerical
attr115,numerical
attr116,numerical
attr117,numerical
attr118,numerical
attr119,numerical
attr120,numerical
attr121,numerical
attr122,numerical
attr123,numerical
attr124,numerical
attr125,numerical
attr126,numerical
attr127,numerical
attr128,numerical
attr129,numerical
attr130,numerical
attr131,numerical
attr132,numerical
attr133,numerical
attr134,numerical
attr135,numerical
attr136,numerical
attr137,numerical
attr138,numerical
attr139,numerical
attr140,numerical
attr141,numerical
attr142,numerical
attr143,numerical
attr144,numerical
attr145,numerical
attr146,numerical
